#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_THE_BANNERLORD;The Bannerlord (WIP);Le Bannerlord (WIP);Das Bannerlord (WIP);;Los Bannerlord (WIP);;;;;;;;;x
BM_THE_BANNERLORD_DESC;Welcome, adventurer, to The Legend of Zendar: Bannerlord in 1060 A.D.;Bienvenue dans The Legend of Zendar: Bannerlord en 1060 A.D, aventurier. Avant de commencer le jeu, vous devez sélectionner votre personnage.;Willkommen bei The Legend of Zendar: Bannerlord in 1060 A.D, Abenteurer. Bevor Ihr das Spiel beginnen könnt, müsst Ihr einen Charakter wählen.;;Os damos la bienvenida a The Legend of Zendar: Bannerlord en 1060 A.D, aventurero. Antes de comenzar el juego debéis crear un personaje.;;;;;;;;;x
BM_THE_WARRIDER;The Warrider (WIP);Le Warrider (WIP);Das Warrider (WIP);;Los Warrider (WIP);;;;;;;;;x
BM_THE_WARRIDER_DESC;Welcome, adventurer, to The Legend of Zendar: Warrider in 1187 A.D. King Larec declared himself as the last Emperor's only and true heir. Meanwhile, former Swadian commander in Reyvadin become Tsar of Great Taiga. But he barely left his court. Larec sees that as a weakness and declares war to Yaroglek for the reunion of the Calradian Empire. In the deserts, there is a united Sarrdakian Empire for many centuries. But there are religious conflicts between Shariz to Bariyye. With the death of mighty Sarrdakian Emperor, zealots sling mud at infidels because they poisoned the old Emperor. Also, there are a lot of adventurers comes to independent and neutral town of Zendar to whom seeking their own fortune. Some of them sponsored by opportunist merchants to build their own party for Zendar as a mercenary army. This is 70 years before Warband. So who you gonna be in this messed realm of Calradia?;Bienvenue dans The Legend of Zendar: Warrider en 1187 A.D, aventurier. Avant de commencer le jeu, vous devez sélectionner votre personnage.;Willkommen bei The Legend of Zendar: Warrider in 1187 A.D, Abenteurer. Bevor Ihr das Spiel beginnen könnt, müsst Ihr einen Charakter wählen.;;Os damos la bienvenida a The Legend of Zendar: Warrider en 1187 A.D, aventurero. Antes de comenzar el juego debéis crear un personaje.;;;;;;;;;x
BM_RHODOK_REBELLION;Rhodok Rebellion (WIP);Rhodok Rébellion (WIP);Rhodok Rebellion (WIP);;Rhodok Rebelión (WIP);;;;;;;;;x
BM_RHODOK_REBELLION_DESC;Welcome, adventurer, to The Legend of Zendar: Rhodok Rebellion in 1223 A.D.;Bienvenue dans The Legend of Zendar: Rhodok Rébellion en 1223 A.D, aventurier. Avant de commencer le jeu, vous devez sélectionner votre personnage.;Willkommen bei The Legend of Zendar: Rhodok Rebellion in 1223 A.D, Abenteurer. Bevor Ihr das Spiel beginnen könnt, müsst Ihr einen Charakter wählen.;;Os damos la bienvenida a The Legend of Zendar: Rhodok Rebelión en 1223 A.D, aventurero. Antes de comenzar el juego debéis crear un personaje.;;;;;;;;;x
BM_THE_WARBAND;The Warband;Le Warband;Das Warband;;Los Warband;;;;;;;;;x
BM_THE_WARBAND_DESC;Welcome, adventurer, to The Legend of Zendar: Warband in 1257 A.D. Before beginning the game you must select your character.\n\nYou hear about Calradia, a land torn between rival kingdoms battling each other for supremacy, a haven for knights and mercenaries, cutthroats and adventurers, all willing to risk their lives in pursuit of fortune, power, or glory... In this land which holds great dangers and even greater opportunities, you believe you may leave your past behind and start a new life. You feel that finally, you hold the key of your destiny in your hands, free to choose as you will, and that whatever course you take, great adventures will await you. Drawn by the stories you hear about Calradia and its kingdoms, you...;Bienvenue dans The Legend of Zendar: Warband en 1257 A.D, aventurier. Avant de commencer le jeu, vous devez sélectionner votre personnage.\n\nVous entendez parler de Calradia, un pays divisé en plusieurs royaumes rivaux qui se disputent sa domination, un refuge pour les chevaliers et les mercenaires, les meurtriers et les aventuriers, tous prêts à risquer leur vie en quête de fortune, de pouvoir ou de gloire. Dans ce pays dangereux mais synonyme d'opportunités, vous espérez tirer un trait sur votre passé et entamer une nouvelle vie. Vous sentez que votre destin est enfin entre vos mains et que vous êtes libre de vos choix ; et quel que soit le parcours que vous emprunterez, de grandes aventures vous attendent. Grâce aux histoires que vous entendez sur Calradia et ses royaumes, vous...;Willkommen bei The Legend of Zendar: Warband in 1257 A.D, Abenteurer. Bevor Ihr das Spiel beginnen könnt, müsst Ihr einen Charakter wählen.\n\nIhr hört von Calradia, einem Land zerrissen vom Machtkampf zwischen rivalisierenden Königreichen, ein Paradies für Ritter und Söldner, Schurken und Abenteurer, alle auf der Suche nach Reichtum, Macht oder Ruhm ... Ihr glaubt, in diesem Land großer Gefahren und noch größerer Gelegenheiten Eure Vergangenheit hinter Euch lassen und ein neues Leben beginnen zu können. In diesem Moment, auf einer Anhöhe über einem fernen Übungsplatz, habt Ihr endlich das Gefühl, den Schlüssel zu Eurem Schicksal in Euren Händen zu halten, freie Entscheidungen treffen zu können, und dass großartige Abenteuer auf Euch warten - ganz gleich, welchen Weg Ihr einschlagt. Inspiriert von den Geschichten, die Ihr über Calradia gehört habt...;;Os damos la bienvenida a The Legend of Zendar: Warband en 1257 A.D, aventurero. Antes de comenzar el juego debéis crear un personaje.\n\nLlegáis a Calradia, una tierra desgarrada entre reinos rivales que buscan la supremacía, un refugio para caballeros y mercenarios, asesinos y aventureros, todos dispuestos a arriesgar sus vidas en busca de fortuna, poder, o gloria... En esta tierra llena de peligros y oportunidades dejaréis vuestro pasado atrás y comenzaréis una nueva vida. Sentís que tenéis la llave de vuestro destino en vuestras manos, sois libre de elegir y, sea cual sea vuestro camino, grandes aventuras os esperan. Con las historias de Calradia y sus reinos resonando aún en vuestra cabeza,...;;;;;;;;;x
BM_CALRADIA_1267;Calradia 1267 (WIP);Le Calradia 1267 (WIP);Das Calradia 1267 (WIP);;Los Calradia 1267 (WIP);;;;;;;;;x
BM_CALRADIA_1267_DESC;Welcome, adventurer, to The Legend of Zendar: Calradia in 1267 A.D.;Bienvenue dans The Legend of Zendar: Calradia en 1267 A.D, aventurier. Avant de commencer le jeu, vous devez sélectionner votre personnage.;Willkommen bei The Legend of Zendar: Calradia in 1267 A.D, Abenteurer. Bevor Ihr das Spiel beginnen könnt, müsst Ihr einen Charakter wählen.;;Os damos la bienvenida a The Legend of Zendar: Calradia en 1267 A.D, aventurero. Antes de comenzar el juego debéis crear un personaje.;;;;;;;;;x
PICK_YOUR_STARTING_ERA;Choose Your Starting Campaign;;;;;;;;;;;;;x
PICK_STARTING_ERA_TEXT;The Legend of Zendar spans a period of almost 200 years. Choose where in the timeline you want your game to start.;;;;;;;;;x
ERA_CHAR_NAME_1;Join a Caravan to Praven;Rejoignez une Caravane à Destination de Praven;Schließt Ihr Euch Einer Karawane Nach Praven;;Os Unís a una Caravana Rumbo a Praven;;;;;;;;;x
