#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
noculture;Multiculturalism;;;;;;;;;;;;;x
group_noculture;Multiculturalism;;;;;;;;;;;;;x
calrad;Calrad;;;;;;;;;;;;;x
imperial;Imperial;;;;;;;;;;;;;x
vlandian;Vlandian;;;;;;;;;;;;;x
swadian;Swadian;;;;;;;;;;;;;x
woodlander;Woodlander;;;;;;;;;;;;;x
iyenn;Iyenn;;;;;;;;;;;;;x
lowlander;Lowlander;;;;;;;;;;;;;x
rhodok;Rhodok;;;;;;;;;;;;;x
tribesman;Tribesman;;;;;;;;;;;;;x
velucan;Velucan;;;;;;;;;;;;;x
highlander;Highlander;;;;;;;;;;;;;x
gleanntir;Gleanntír;;;;;;;;;;;;;x
vaegir;Vaegir;;;;;;;;;;;;;x
battanian;Battanian;;;;;;;;;;;;;x
vadynian;Vadynian;;;;;;;;;;;;;x
voivoch;Voivoch;;;;;;;;;;;;;x
pirash;Pirash;;;;;;;;;;;;;x
taigan;Taigan;;;;;;;;;;;;;x
tundran;Tundran;;;;;;;;;;;;;x
druzian;Druzian;;;;;;;;;;;;;x
nord;Nord;;;;;;;;;;;;;x
sturgian;Sturgian;;;;;;;;;;;;;x
argadish;Argadish;;;;;;;;;;;;;x
gundigian;Gundigian;;;;;;;;;;;;;x
alaish;Alaish;;;;;;;;;;;;;x
jumne;Jumne;;;;;;;;;;;;;x
khergit;Khergit;;;;;;;;;;;;;x
khuzait;Khuzait;;;;;;;;;;;;;x
nomadic;Nomadic;;;;;;;;;;;;;x
ergenek;Ergenek;;;;;;;;;;;;;x
bozkirian;Bozkirian;;;;;;;;;;;;;x
tarkhan;Tarkhan;;;;;;;;;;;;;x
najar;Najar;;;;;;;;;;;;;x
sarranid;Sarranid;;;;;;;;;;;;;x
aserai;Aserai;;;;;;;;;;;;;x
bezanian;Bezanian;;;;;;;;;;;;;x
haramid;Haramid;;;;;;;;;;;;;x
sandman;Sandman;;;;;;;;;;;;;x
mushreg;Mushreg;;;;;;;;;;;;;x
sarrdak;Sarrdak;;;;;;;;;;;;;x
qardeb;Qardeb;;;;;;;;;;;;;x
pashtan;Pashtan;;;;;;;;;;;;;x
