#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_calradia;Calradia;Calradia;Calradia;;Calradia;;;;;;;;;x
e_calradia_adj;Calradian;Calradian;Calradian;;Calradian;;;;;;;;;x
e_swadia;Kingdom of Swadia;Royaume de Swadia;Königreich Swadien;;Reino de Swadia;;;;;;;;;x
e_swadia_adj;Swadian;Swadian;Swadian;;Swadian;;;;;;;;;x
e_vaegirs;Grand Principality of Vaegirs;Royaume des Vaegirs;Königreich Vaegirs;;Reino de Vaegir;;;;;;;;;x
e_vaegirs_adj;Vaegir;Vaegir;Vaegir;;Vaegir;;;;;;;;;x
e_nords;Kingdom of Nords;Royaume des Nords;Königreich von Nords;;Reino del Norte;;;;;;;;;x
e_nords_adj;Nord;Nord;Nord;;Nord;;;;;;;;;x
e_rhodoks;Republic of Rhodoks;République des Rhodoks;Republik von Rhodoks;;República de Rhodok;;;;;;;;;x
e_rhodoks_adj;Rhodok;Rhodok;Rhodok;;Rhodok;;;;;;;;;x
e_khergit;Khergit Khanate;Khergit Khanate;Khanat Khergit;;Khanato de Khergit;;;;;;;;;x
e_khergit_adj;Khergit;Khergit;Khergit;;Khergit;;;;;;;;;x
e_sarranid;Sarranid Sultanate;Sultanat des Sarranides;Sarranidisches Sultanat;;Sultanato Sarraní;;;;;;;;;x
e_sarranid_adj;Sarranid;Sarranid;Sarranid;;Sarranid;;;;;;;;;x
