#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
noreligion;Secular;;;;;;;;;;;;;x
noreligion_DESC;Secularity or secular is the state of being separate from religion, or of not being exclusively allied with or against any particular religion. Secular and secularity derive from the Latin word saecularis meaning "of a generation, belonging to an age". The Christian doctrine that God exists outside time led medieval Western culture to use secular to indicate separation from specifically religious affairs and involvement in temporal ones. Secularity has no formal head and no special game mechanics.;;;;;;;;;;;;;x
calradic;Calradic;;;;;;;;;;;;;x
calradic_DESC;Calradicism is one of the oldest branches of Christianity and the one that has had the biggest impact on the history of Calradia. The formal head of the religion is the Bishop of Suno - the Pope. Defining features in-game:\n§Y*§! There is always a Pope, even if Suno falls\n§Y*§! The Pope can grant divorces\n§Y*§! The Pope can grant the Invasion Casus Belli\n§Y*§! The Pope can Excommunicate Calradic characters\n§Y*§! Calradic rulers can set up Antipopes\n§Y*§! Calradic Bishops may pay tax to the Pope rather than their secular liege;;;;;;;;;;;;;x
cultist;Cultist;;;;;;;;;;;;;x
cultist_DESC;The Cultists, or 'Cultism', is a Calradic heresy that originated in the Cultist Order of monks. It is devoted to poverty and asceticism - especially for men of the cloth. Cultist heretics are violently opposed to Church wealth and displays of opulence. Defining features in-game:\n§Y*§! Can create the Cultist Papacy, if Suno is conquered\n§Y*§! The Pope can grant divorces\n§Y*§! The Pope can grant the Invasion Casus Belli\n§Y*§! The Pope can Excommunicate Cultist characters§Y*§! Cultist Bishops may pay tax to the Pope rather than their secular liege;;;;;;;;;;;;;x
reformed;Reformed;;;;;;;;;;;;;x
reformed_DESC;Originally a reform movement within the Calradic church, Reformed heretics are anti-clerical and advocate a return to vows of poverty. They are opposed to capital punishment and believe that laymen can also administer the sacraments. This heresy has no formal head and no special game mechanics.;;;;;;;;;;;;;x
pantheonism;Taisician;;;;;;;;;;;;;x
pantheonism_DESC;Pantheonism is Christian Gnostic heresy influenced by Paganism, originating in Khudan. In the game, it is treated as an Orthodox heresy. Defining features in-game:\n§Y*§! There is always a Pantheonism Patriarch, even if Khudan falls\n§Y*§! Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings\n§Y*§! Patriarchs can grant divorces\n§Y*§! The Patriarch of the East can grant the Invasion Casus Belli\n§Y*§! Patriarchs can Excommunicate Taiganican characters;;;;;;;;;;;;;x
calradian_pagan;Calradian Pantheon;;;;;;;;;;;;;x
calradian_pagan_DESC;The Calradian Pantheon is polytheistic, with a pantheon of twelve major gods including Jupiter, Mars, Mercury, Venus, Minerva and Vesta. It originated in ancient Calradia and with the conquests of Cradon the Great and the Calradian Empire, it would go on to become the dominant religion in the Calradian world until the rise of Calradtendom. Defining features in-game: \n§Y*§! Can declare Subjugation Wars against all other pagans\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries;;;;;;;;;;;;;x
nordic_pagan_reformed;Fylkirate;;;;;;;;;;;;;x
